                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.34888,                0.20169,                 0.7936,                0.99851,                      1,                  0.995,                0.90161,                0.30907,                0.16584,                0.76394,             0.00072612,             0.00072612,             0.00072612
                    130,                 0.3371,                0.19624,                0.79579,                0.99873,                      1,                  0.995,                0.90228,                 0.3183,                0.16319,                  0.764,               0.000722,               0.000722,               0.000722
                    131,                0.34615,                 0.1973,                0.79329,                0.99916,                      1,                  0.995,                0.90308,                0.31514,                0.16717,                0.76619,             0.00071788,             0.00071788,             0.00071788
                    132,                0.35084,                0.20239,                0.79439,                0.99879,                      1,                  0.995,                0.90027,                0.33407,                0.17206,                 0.7687,             0.00071375,             0.00071375,             0.00071375
                    133,                0.34811,                 0.1984,                 0.7958,                0.99876,                      1,                  0.995,                  0.907,                0.32822,                0.17265,                0.76645,             0.00070962,             0.00070962,             0.00070962
                    134,                0.34408,                0.19601,                0.79185,                0.99855,                      1,                  0.995,                 0.8957,                0.33128,                0.16977,                0.76701,              0.0007055,              0.0007055,              0.0007055
                    135,                0.34243,                 0.1991,                0.79542,                0.99856,                      1,                  0.995,                0.89664,                 0.3185,                0.16904,                0.76489,             0.00070137,             0.00070137,             0.00070137
                    136,                0.33617,                0.19702,                0.79545,                0.99866,                      1,                  0.995,                0.90379,                0.33636,                0.17422,                0.76676,             0.00069725,             0.00069725,             0.00069725
                    137,                0.34093,                0.19767,                0.79601,                0.99841,                      1,                  0.995,                0.89345,                   0.32,                0.17727,                0.76577,             0.00069313,             0.00069313,             0.00069313
                    138,                0.34724,                0.20244,                0.79177,                0.99904,                      1,                  0.995,                 0.8933,                0.32163,                0.17819,                0.76497,               0.000689,               0.000689,               0.000689
                    139,                 0.3484,                 0.1997,                  0.793,                0.99909,                      1,                  0.995,                0.90159,                0.32349,                0.17475,                0.76493,             0.00068488,             0.00068488,             0.00068488
                    140,                 0.3362,                0.19459,                0.79364,                0.99853,                      1,                  0.995,                 0.9027,                0.31218,                0.16463,                0.76383,             0.00068075,             0.00068075,             0.00068075
                    141,                0.34077,                0.19596,                0.79634,                0.99888,                      1,                  0.995,                0.90215,                0.31726,                0.16854,                0.76438,             0.00067663,             0.00067663,             0.00067663
                    142,                0.34077,                 0.1932,                0.79782,                0.99904,                      1,                  0.995,                0.88913,                0.32662,                0.16984,                0.76676,              0.0006725,              0.0006725,              0.0006725
                    143,                0.34107,                0.19481,                  0.797,                0.99908,                      1,                  0.995,                0.89637,                0.32511,                0.16818,                0.76554,             0.00066838,             0.00066838,             0.00066838
                    144,                0.33846,                0.19617,                0.79873,                0.99904,                      1,                  0.995,                0.89947,                0.31682,                0.16972,                0.76405,             0.00066425,             0.00066425,             0.00066425
                    145,                0.33635,                0.19383,                0.79897,                0.99871,                      1,                  0.995,                0.90134,                0.32397,                 0.1709,                0.76507,             0.00066013,             0.00066013,             0.00066013
                    146,                0.33391,                 0.1913,                0.78975,                 0.9986,                      1,                  0.995,                0.90481,                0.31592,                0.16645,                0.76563,               0.000656,               0.000656,               0.000656
